,Merchant Name,Purchase Date,FVO Approval Date,AO Approval Date,CH Approval Date,PO Item Text
15,AMZN MKTP US MM0G78F80,2020-08-18,2020-08-17,2020-08-20,2020-08-20,PRIVACY MONITOR FILT
103,AMAZON.COM MM0G95YW1,2020-08-25,2020-09-01,2020-09-01,2020-09-01,MOUNTING KIT
108,AMZN MKTP US MF9PN5MA0,2020-08-08,2020-08-04,2020-08-10,2020-08-10,SURFACE PRO DOCK
121,AMAZON.COM MF3RB0941,2020-08-08,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
125,AMZN MKTP US MF04G1960,2020-08-14,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
126,AMZN MKTP US MF0W48ZI0,2020-08-02,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
128,AMZN MKTP US MF1Y17EN0,2020-08-05,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
131,AMZN MKTP US MF4FH5BM1,2020-08-04,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
132,AMZN MKTP US MF4N32Z90,2020-08-02,2020-08-03,2020-08-04,2020-08-04,PPE/GENERAL OFFICE S
133,AMZN MKTP US MF50P5DF2,2020-08-11,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
135,AMZN MKTP US MF68B6B10,2020-08-10,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
145,AMZN MKTP US MM6MK8OM1,2020-08-11,2020-08-07,2020-08-10,2020-08-25,REMAINING FY20 GENER
169,AMZN MKTP US MM7505KH1,2020-08-22,2020-08-27,2020-08-28,2020-08-21,"AMAZON - CHARGERS,PH"
173,AMZN MKTP US MM8RD9VO2,2020-08-22,2020-08-27,2020-08-28,2020-08-21,"AMAZON - CHARGERS,PH"
262,AMAZON.COM MF2582J71 AMZN,2020-07-29,2020-09-17,2020-09-17,2020-07-28,CHAIR
266,AMZN MKTP US MF9FA1RF2,2020-08-14,2020-09-17,2020-09-17,2020-07-28,FOOT REST
267,AMZN MKTP US MM7EW7OB1,2020-08-11,2020-09-17,2020-09-17,2020-07-28,KEYBOARD TRAY
313,AMZN MKTP US MM61N20E1,2020-08-15,2020-08-17,2020-08-17,2020-08-12,BATTERY CHARGING DEV
395,AMAZON.COM MF1VB1A30 AMZN,2020-08-04,2020-09-09,2020-09-09,2020-09-09,FSD-20-8 HP3830 PRIN
396,AMZN MKTP US MM2CN0MA0,2020-08-25,2020-09-01,2020-09-01,2020-09-01,FSD-20-8 INSTALL PAR
398,AMAZON.COM MF1WM8ML2 AMZN,2020-08-08,2020-09-09,2020-09-09,2020-06-09,EQUIPMENT - NY
399,AMAZON.COM MF3BZ25V1 AMZN,2020-08-03,2020-09-25,2020-09-25,2020-02-25,OFFICE SUPPLIES - NY
400,AMAZON.COM MF50K8US1,2020-08-08,2020-09-25,2020-09-25,2020-02-25,OFFICE SUPPLIES - NY
401,AMAZON.COM MF6B40R81 AMZN,2020-08-09,2020-09-25,2020-09-25,2020-02-25,OFFICE SUPPLIES - NY
402,AMZN MKTP US MF35T3QE1,2020-08-05,2020-09-25,2020-09-25,2020-02-25,OFFICE SUPPLIES - NY
403,AMZN MKTP US MF4IM2LU2,2020-08-03,2020-09-25,2020-09-25,2020-02-25,OFFICE SUPPLIES - NY
466,AMZN MKTP US MF3AU8G61,2020-08-02,2020-08-05,2020-08-05,2020-08-05,AC ADAPTOR
467,AMZN MKTP US MF3G80Z52,2020-08-03,2020-08-25,2020-08-25,2020-08-26,PADLOCK
511,AMAZON.COM MF7BR3YA2,2020-08-15,2020-08-14,2020-08-17,2020-08-17,WORKSHOP SUPPLIES
514,AMZN MKTP US MF1I76R72,2020-08-14,2020-08-14,2020-08-17,2020-08-17,WORKSHOP SUPPLIES
516,AMZN MKTP US MF8DB6R22,2020-08-14,2020-08-14,2020-08-17,2020-08-17,WORKSHOP SUPPLIES
559,AMZN MKTP US MM7DW1B40,2020-08-27,2020-09-22,2020-09-22,2020-08-25,SUPPLIES
